,Weight,Zone,Type of Delivery,Price,Year
131,22,2,FedEx 2Day® A.M.,49.19,2021
132,23,2,FedEx First Overnight,102.10,2021
133,23,2,FedEx Priority Overnight,71.10,2021
134,23,2,FedEx Std Overnight,66.52,2021
135,23,2,FedEx 2DAy,46.68,2021
136,23,2,FedEx Express Saver,42.85,2021
137,23,2,FedEx 2Day® A.M.,51.58,2021
138,24,2,FedEx First Overnight,103.99,2021
139,24,2,FedEx Priority Overnight,72.99,2021
140,24,2,FedEx Std Overnight,68.17,2021
141,24,2,FedEx 2DAy,47.75,2021
142,24,2,FedEx Express Saver,43.05,2021
143,24,2,FedEx 2Day® A.M.,53.58,2021
144,25,2,FedEx First Overnight,104.36,2021
145,25,2,FedEx Priority Overnight,73.36,2021
146,25,2,FedEx Std Overnight,69.09,2021
147,25,2,FedEx 2DAy,49.3,2021
148,25,2,FedEx Express Saver,43.26,2021
149,25,2,FedEx 2Day® A.M.,53.78,2021
150,26,2,FedEx First Overnight,108.86,2021
151,26,2,FedEx Priority Overnight,77.86,2021
152,26,2,FedEx Std Overnight,69.29,2021
153,26,2,FedEx 2DAy,50.78,2021
154,26,2,FedEx Express Saver,47.29,2021
155,26,2,FedEx 2Day® A.M.,55.42,2021
156,27,2,FedEx First Overnight,109.32,2021
157,27,2,FedEx Priority Overnight,78.32,2021
158,27,2,FedEx Std Overnight,72.44,2021
159,27,2,FedEx 2DAy,52.4,2021
160,27,2,FedEx Express Saver,48.82,2021
161,27,2,FedEx 2Day® A.M.,56.32,2021
162,28,2,FedEx First Overnight,110.96,2021
163,28,2,FedEx Priority Overnight,79.96,2021
164,28,2,FedEx Std Overnight,72.76,2021
165,28,2,FedEx 2DAy,54.08,2021
166,28,2,FedEx Express Saver,50.30,2021
167,28,2,FedEx 2Day® A.M.,57.70,2021
168,29,2,FedEx First Overnight,111.36,2021
169,29,2,FedEx Priority Overnight,80.36,2021
170,29,2,FedEx Std Overnight,74.16,2021
171,29,2,FedEx 2DAy,55.48,2021
172,29,2,FedEx Express Saver,50.50,2021
173,29,2,FedEx 2Day® A.M.,60.64,2021
174,30,2,FedEx First Overnight,111.73,2021
175,30,2,FedEx Priority Overnight,80.73,2021
176,30,2,FedEx Std Overnight,77.54,2021
177,30,2,FedEx 2DAy,55.7,2021
178,30,2,FedEx Express Saver,50.70,2021
179,30,2,FedEx 2Day® A.M.,62.46,2021
180,31,2,FedEx First Overnight,114.80,2021
181,31,2,FedEx Priority Overnight,83.80,2021
182,31,2,FedEx Std Overnight,78.98,2021
183,31,2,FedEx 2DAy,55.92,2021
184,31,2,FedEx Express Saver,52.99,2021
185,31,2,FedEx 2Day® A.M.,62.90,2021
186,32,2,FedEx First Overnight,117.19,2021
187,32,2,FedEx Priority Overnight,86.19,2021
188,32,2,FedEx Std Overnight,80.62,2021
189,32,2,FedEx 2DAy,56.16,2021
190,32,2,FedEx Express Saver,54.01,2021
191,32,2,FedEx 2Day® A.M.,63.10,2021
192,33,2,FedEx First Overnight,119.25,2021
193,33,2,FedEx Priority Overnight,88.25,2021
194,33,2,FedEx Std Overnight,82.40,2021
195,33,2,FedEx 2DAy,60.8,2021
196,33,2,FedEx Express Saver,55.52,2021
197,33,2,FedEx 2Day® A.M.,65.63,2021
198,34,2,FedEx First Overnight,121.14,2021
199,34,2,FedEx Priority Overnight,90.14,2021
200,34,2,FedEx Std Overnight,83.83,2021
201,34,2,FedEx 2DAy,62.7,2021
202,34,2,FedEx Express Saver,56.62,2021
203,34,2,FedEx 2Day® A.M.,67.68,2021
204,35,2,FedEx First Overnight,123.07,2021
205,35,2,FedEx Priority Overnight,92.07,2021
206,35,2,FedEx Std Overnight,86.22,2021
207,35,2,FedEx 2DAy,63.97,2021
208,35,2,FedEx Express Saver,57.72,2021
209,35,2,FedEx 2Day® A.M.,69.05,2021
210,36,2,FedEx First Overnight,126.88,2021
211,36,2,FedEx Priority Overnight,95.88,2021
212,36,2,FedEx Std Overnight,86.76,2021
213,36,2,FedEx 2DAy,64.97,2021
214,36,2,FedEx Express Saver,59.36,2021
215,36,2,FedEx 2Day® A.M.,71.35,2021
216,37,2,FedEx First Overnight,127.28,2021
217,37,2,FedEx Priority Overnight,96.28,2021
218,37,2,FedEx Std Overnight,86.96,2021
219,37,2,FedEx 2DAy,66.17,2021
