,Weight,Zone,Type of Delivery,Price,Year
1119,37,3,FedEx 2DAy,79.8,2021
1120,37,3,FedEx Express Saver,72.52,2021
1121,37,3,FedEx 2Day® A.M.,86.61,2021
1122,38,3,FedEx First Overnight,169.72,2021
1123,38,3,FedEx Priority Overnight,138.72,2021
1124,38,3,FedEx Std Overnight,126.46,2021
1125,38,3,FedEx 2DAy,81.01,2021
1126,38,3,FedEx Express Saver,72.85,2021
1127,38,3,FedEx 2Day® A.M.,88.88,2021
1128,39,3,FedEx First Overnight,170.08,2021
1129,39,3,FedEx Priority Overnight,139.08,2021
1130,39,3,FedEx Std Overnight,126.75,2021
1131,39,3,FedEx 2DAy,83.15,2021
1132,39,3,FedEx Express Saver,73.18,2021
1133,39,3,FedEx 2Day® A.M.,89.16,2021
1134,40,3,FedEx First Overnight,170.46,2021
1135,40,3,FedEx Priority Overnight,139.46,2021
1136,40,3,FedEx Std Overnight,132.54,2021
1137,40,3,FedEx 2DAy,85.35,2021
1138,40,3,FedEx Express Saver,73.51,2021
1139,40,3,FedEx 2Day® A.M.,91.50,2021
1140,41,3,FedEx First Overnight,177.09,2021
1141,41,3,FedEx Priority Overnight,146.09,2021
1142,41,3,FedEx Std Overnight,134.25,2021
1143,41,3,FedEx 2DAy,87.42,2021
1144,41,3,FedEx Express Saver,80.02,2021
1145,41,3,FedEx 2Day® A.M.,95.89,2021
1146,42,3,FedEx First Overnight,177.76,2021
1147,42,3,FedEx Priority Overnight,146.76,2021
1148,42,3,FedEx Std Overnight,136.25,2021
1149,42,3,FedEx 2DAy,89.54,2021
1150,42,3,FedEx Express Saver,81.98,2021
1151,42,3,FedEx 2Day® A.M.,99.97,2021
1152,43,3,FedEx First Overnight,180.10,2021
1153,43,3,FedEx Priority Overnight,149.10,2021
1154,43,3,FedEx Std Overnight,139.15,2021
1155,43,3,FedEx 2DAy,91.4,2021
1156,43,3,FedEx Express Saver,84.34,2021
1157,43,3,FedEx 2Day® A.M.,100.39,2021
1158,44,3,FedEx First Overnight,187.92,2021
1159,44,3,FedEx Priority Overnight,156.92,2021
1160,44,3,FedEx Std Overnight,141.66,2021
1161,44,3,FedEx 2DAy,92.53,2021
1162,44,3,FedEx Express Saver,84.58,2021
1163,44,3,FedEx 2Day® A.M.,100.61,2021
1164,45,3,FedEx First Overnight,194.01,2021
1165,45,3,FedEx Priority Overnight,163.01,2021
1166,45,3,FedEx Std Overnight,144.69,2021
1167,45,3,FedEx 2DAy,94.8,2021
1168,45,3,FedEx Express Saver,84.78,2021
1169,45,3,FedEx 2Day® A.M.,102.95,2021
1170,46,3,FedEx First Overnight,194.63,2021
1171,46,3,FedEx Priority Overnight,163.63,2021
1172,46,3,FedEx Std Overnight,147.15,2021
1173,46,3,FedEx 2DAy,95.85,2021
1174,46,3,FedEx Express Saver,84.98,2021
1175,46,3,FedEx 2Day® A.M.,109.32,2021
1176,47,3,FedEx First Overnight,197.02,2021
1177,47,3,FedEx Priority Overnight,166.02,2021
1178,47,3,FedEx Std Overnight,150.17,2021
1179,47,3,FedEx 2DAy,96.07,2021
1180,47,3,FedEx Express Saver,85.18,2021
1181,47,3,FedEx 2Day® A.M.,109.96,2021
1182,48,3,FedEx First Overnight,197.36,2021
1183,48,3,FedEx Priority Overnight,166.36,2021
1184,48,3,FedEx Std Overnight,153.15,2021
1185,48,3,FedEx 2DAy,99.94,2021
1186,48,3,FedEx Express Saver,85.38,2021
1187,48,3,FedEx 2Day® A.M.,110.16,2021
1188,49,3,FedEx First Overnight,197.56,2021
1189,49,3,FedEx Priority Overnight,166.56,2021
1190,49,3,FedEx Std Overnight,156.19,2021
1191,49,3,FedEx 2DAy,100.33,2021
1192,49,3,FedEx Express Saver,85.58,2021
1193,49,3,FedEx 2Day® A.M.,112.64,2021
1194,50,3,FedEx First Overnight,198.50,2021
1195,50,3,FedEx Priority Overnight,167.50,2021
1196,50,3,FedEx Std Overnight,158.48,2021
1197,50,3,FedEx 2DAy,100.55,2021
1198,50,3,FedEx Express Saver,85.96,2021
1199,50,3,FedEx 2Day® A.M.,120.32,2021
1200,51,3,FedEx First Overnight,217.15,2021
1201,51,3,FedEx Priority Overnight,186.15,2021
1202,51,3,FedEx Std Overnight,161.69,2021
1203,51,3,FedEx 2DAy,100.99,2021
1204,51,3,FedEx Express Saver,93.56,2021
1205,51,3,FedEx 2Day® A.M.,121.98,2021
1206,52,3,FedEx First Overnight,226.90,2021
1207,52,3,FedEx Priority Overnight,195.90,2021
1208,52,3,FedEx Std Overnight,164.12,2021
1209,52,3,FedEx 2DAy,106.41,2021
1210,52,3,FedEx Express Saver,94.87,2021
1211,52,3,FedEx 2Day® A.M.,126.41,2021
1212,53,3,FedEx First Overnight,227.88,2021
1213,53,3,FedEx Priority Overnight,196.88,2021
1214,53,3,FedEx Std Overnight,167.55,2021
1215,53,3,FedEx 2DAy,108.57,2021
1216,53,3,FedEx Express Saver,101.00,2021
1217,53,3,FedEx 2Day® A.M.,126.86,2021
1218,54,3,FedEx First Overnight,228.30,2021
1219,54,3,FedEx Priority Overnight,197.30,2021
1220,54,3,FedEx Std Overnight,170.87,2021
1221,54,3,FedEx 2DAy,109.88,2021
1222,54,3,FedEx Express Saver,101.62,2021
1223,54,3,FedEx 2Day® A.M.,129.70,2021
1224,55,3,FedEx First Overnight,231.71,2021
1225,55,3,FedEx Priority Overnight,200.71,2021
1226,55,3,FedEx Std Overnight,174.43,2021
1227,55,3,FedEx 2DAy,110.32,2021
1228,55,3,FedEx Express Saver,102.02,2021
1229,55,3,FedEx 2Day® A.M.,130.10,2021
1230,56,3,FedEx First Overnight,242.96,2021
1231,56,3,FedEx Priority Overnight,211.96,2021
1232,56,3,FedEx Std Overnight,177.43,2021
1233,56,3,FedEx 2DAy,110.76,2021
1234,56,3,FedEx Express Saver,102.42,2021
1235,56,3,FedEx 2Day® A.M.,130.50,2021
1236,57,3,FedEx First Overnight,245.08,2021
1237,57,3,FedEx Priority Overnight,214.08,2021
1238,57,3,FedEx Std Overnight,181.18,2021
1239,57,3,FedEx 2DAy,115.53,2021
1240,57,3,FedEx Express Saver,102.82,2021
1241,57,3,FedEx 2Day® A.M.,130.90,2021
1242,58,3,FedEx First Overnight,245.98,2021
1243,58,3,FedEx Priority Overnight,214.98,2021
1244,58,3,FedEx Std Overnight,185.34,2021
1245,58,3,FedEx 2DAy,116.01,2021
1246,58,3,FedEx Express Saver,103.22,2021
1247,58,3,FedEx 2Day® A.M.,131.30,2021
1248,59,3,FedEx First Overnight,246.40,2021
1249,59,3,FedEx Priority Overnight,215.40,2021
1250,59,3,FedEx Std Overnight,190.10,2021
1251,59,3,FedEx 2DAy,116.7,2021
1252,59,3,FedEx Express Saver,103.67,2021
1253,59,3,FedEx 2Day® A.M.,131.92,2021
1254,60,3,FedEx First Overnight,246.83,2021
1255,60,3,FedEx Priority Overnight,215.83,2021
1256,60,3,FedEx Std Overnight,194.33,2021
1257,60,3,FedEx 2DAy,117.14,2021
1258,60,3,FedEx Express Saver,107.03,2021
1259,60,3,FedEx 2Day® A.M.,139.32,2021
1260,61,3,FedEx First Overnight,254.44,2021
1261,61,3,FedEx Priority Overnight,223.44,2021
1262,61,3,FedEx Std Overnight,197.97,2021
1263,61,3,FedEx 2DAy,117.58,2021
1264,61,3,FedEx Express Saver,111.90,2021
1265,61,3,FedEx 2Day® A.M.,140.06,2021
1266,62,3,FedEx First Overnight,261.35,2021
1267,62,3,FedEx Priority Overnight,230.35,2021
1268,62,3,FedEx Std Overnight,200.80,2021
1269,62,3,FedEx 2DAy,118.02,2021
1270,62,3,FedEx Express Saver,112.69,2021
1271,62,3,FedEx 2Day® A.M.,140.53,2021
1272,63,3,FedEx First Overnight,262.07,2021
1273,63,3,FedEx Priority Overnight,231.07,2021
1274,63,3,FedEx Std Overnight,204.77,2021
1275,63,3,FedEx 2DAy,118.46,2021
1276,63,3,FedEx Express Saver,113.93,2021
1277,63,3,FedEx 2Day® A.M.,145.51,2021
1278,64,3,FedEx First Overnight,269.39,2021
1279,64,3,FedEx Priority Overnight,238.39,2021
1280,64,3,FedEx Std Overnight,205.63,2021
1281,64,3,FedEx 2DAy,120.78,2021
1282,64,3,FedEx Express Saver,116.16,2021
1283,64,3,FedEx 2Day® A.M.,147.16,2021
1284,65,3,FedEx First Overnight,271.00,2021
1285,65,3,FedEx Priority Overnight,240.00,2021
1286,65,3,FedEx Std Overnight,211.99,2021
1287,65,3,FedEx 2DAy,123.98,2021
1288,65,3,FedEx Express Saver,119.24,2021
1289,65,3,FedEx 2Day® A.M.,147.60,2021
1290,66,3,FedEx First Overnight,271.66,2021
1291,66,3,FedEx Priority Overnight,240.66,2021
1292,66,3,FedEx Std Overnight,212.64,2021
1293,66,3,FedEx 2DAy,124.42,2021
1294,66,3,FedEx Express Saver,120.86,2021
1295,66,3,FedEx 2Day® A.M.,150.84,2021
1296,67,3,FedEx First Overnight,284.75,2021
1297,67,3,FedEx Priority Overnight,253.75,2021
1298,67,3,FedEx Std Overnight,221.04,2021
1299,67,3,FedEx 2DAy,126.91,2021
1300,67,3,FedEx Express Saver,121.26,2021
1301,67,3,FedEx 2Day® A.M.,152.09,2021
1302,68,3,FedEx First Overnight,286.23,2021
1303,68,3,FedEx Priority Overnight,255.23,2021
1304,68,3,FedEx Std Overnight,225.13,2021
1305,68,3,FedEx 2DAy,127.93,2021
1306,68,3,FedEx Express Saver,121.75,2021
1307,68,3,FedEx 2Day® A.M.,153.23,2021
1308,69,3,FedEx First Overnight,286.65,2021
1309,69,3,FedEx Priority Overnight,255.65,2021
1310,69,3,FedEx Std Overnight,228.82,2021
1311,69,3,FedEx 2DAy,130.77,2021
1312,69,3,FedEx Express Saver,122.15,2021
1313,69,3,FedEx 2Day® A.M.,153.69,2021
1314,70,3,FedEx First Overnight,287.08,2021
1315,70,3,FedEx Priority Overnight,256.08,2021
1316,70,3,FedEx Std Overnight,233.58,2021
1317,70,3,FedEx 2DAy,142.52,2021
1318,70,3,FedEx Express Saver,125.57,2021
1319,70,3,FedEx 2Day® A.M.,161.74,2021
1320,71,3,FedEx First Overnight,287.49,2021
1321,71,3,FedEx Priority Overnight,256.49,2021
1322,71,3,FedEx Std Overnight,237.29,2021
1323,71,3,FedEx 2DAy,144.45,2021
1324,71,3,FedEx Express Saver,126.02,2021
1325,71,3,FedEx 2Day® A.M.,162.55,2021
1326,72,3,FedEx First Overnight,295.03,2021
1327,72,3,FedEx Priority Overnight,264.03,2021
1328,72,3,FedEx Std Overnight,240.98,2021
1329,72,3,FedEx 2DAy,144.89,2021
1330,72,3,FedEx Express Saver,126.46,2021
1331,72,3,FedEx 2Day® A.M.,162.95,2021
1332,73,3,FedEx First Overnight,300.54,2021
1333,73,3,FedEx Priority Overnight,269.54,2021
1334,73,3,FedEx Std Overnight,246.39,2021
1335,73,3,FedEx 2DAy,145.33,2021
1336,73,3,FedEx Express Saver,126.89,2021
1337,73,3,FedEx 2Day® A.M.,163.35,2021
1338,74,3,FedEx First Overnight,301.10,2021
1339,74,3,FedEx Priority Overnight,270.10,2021
1340,74,3,FedEx Std Overnight,246.95,2021
1341,74,3,FedEx 2DAy,145.77,2021
1342,74,3,FedEx Express Saver,127.33,2021
1343,74,3,FedEx 2Day® A.M.,163.75,2021
1344,75,3,FedEx First Overnight,301.96,2021
1345,75,3,FedEx Priority Overnight,270.96,2021
1346,75,3,FedEx Std Overnight,253.06,2021
1347,75,3,FedEx 2DAy,146.66,2021
1348,75,3,FedEx Express Saver,128.22,2021
1349,75,3,FedEx 2Day® A.M.,164.78,2021
1350,76,3,FedEx First Overnight,309.48,2021
1351,76,3,FedEx Priority Overnight,278.48,2021
1352,76,3,FedEx Std Overnight,253.93,2021
1353,76,3,FedEx 2DAy,147.53,2021
1354,76,3,FedEx Express Saver,129.09,2021
1355,76,3,FedEx 2Day® A.M.,165.58,2021
1356,77,3,FedEx First Overnight,318.80,2021
1357,77,3,FedEx Priority Overnight,287.80,2021
1358,77,3,FedEx Std Overnight,254.79,2021
1359,77,3,FedEx 2DAy,148.41,2021
1360,77,3,FedEx Express Saver,129.98,2021
1361,77,3,FedEx 2Day® A.M.,166.38,2021
1362,78,3,FedEx First Overnight,319.74,2021
1363,78,3,FedEx Priority Overnight,288.74,2021
1364,78,3,FedEx Std Overnight,266.44,2021
1365,78,3,FedEx 2DAy,149.29,2021
1366,78,3,FedEx Express Saver,131.01,2021
1367,78,3,FedEx 2Day® A.M.,167.25,2021
1368,79,3,FedEx First Overnight,320.58,2021
1369,79,3,FedEx Priority Overnight,289.58,2021
1370,79,3,FedEx Std Overnight,267.61,2021
1371,79,3,FedEx 2DAy,150.17,2021
1372,79,3,FedEx Express Saver,131.81,2021
1373,79,3,FedEx 2Day® A.M.,168.12,2021
1374,80,3,FedEx First Overnight,321.43,2021
1375,80,3,FedEx Priority Overnight,290.43,2021
1376,80,3,FedEx Std Overnight,275.69,2021
1377,80,3,FedEx 2DAy,151.05,2021
1378,80,3,FedEx Express Saver,132.61,2021
1379,80,3,FedEx 2Day® A.M.,168.99,2021
1380,81,3,FedEx First Overnight,322.28,2021
1381,81,3,FedEx Priority Overnight,291.28,2021
1382,81,3,FedEx Std Overnight,280.36,2021
1383,81,3,FedEx 2DAy,151.85,2021
1384,81,3,FedEx Express Saver,134.81,2021
1385,81,3,FedEx 2Day® A.M.,169.86,2021
1386,82,3,FedEx First Overnight,323.13,2021
1387,82,3,FedEx Priority Overnight,292.13,2021
1388,82,3,FedEx Std Overnight,284.88,2021
1389,82,3,FedEx 2DAy,152.65,2021
1390,82,3,FedEx Express Saver,140.46,2021
1391,82,3,FedEx 2Day® A.M.,183.85,2021
1392,83,3,FedEx First Overnight,323.98,2021
1393,83,3,FedEx Priority Overnight,292.98,2021
1394,83,3,FedEx Std Overnight,287.23,2021
1395,83,3,FedEx 2DAy,155.04,2021
1396,83,3,FedEx Express Saver,141.34,2021
1397,83,3,FedEx 2Day® A.M.,186.18,2021
1398,84,3,FedEx First Overnight,324.82,2021
1399,84,3,FedEx Priority Overnight,293.82,2021
1400,84,3,FedEx Std Overnight,288.05,2021
1401,84,3,FedEx 2DAy,155.92,2021
1402,84,3,FedEx Express Saver,146.22,2021
1403,84,3,FedEx 2Day® A.M.,186.98,2021
1404,85,3,FedEx First Overnight,325.67,2021
1405,85,3,FedEx Priority Overnight,294.67,2021
1406,85,3,FedEx Std Overnight,288.89,2021
1407,85,3,FedEx 2DAy,159.47,2021
1408,85,3,FedEx Express Saver,149.64,2021
1409,85,3,FedEx 2Day® A.M.,187.78,2021
1410,86,3,FedEx First Overnight,342.63,2021
1411,86,3,FedEx Priority Overnight,311.63,2021
1412,86,3,FedEx Std Overnight,297.53,2021
1413,86,3,FedEx 2DAy,164.39,2021
1414,86,3,FedEx Express Saver,150.53,2021
1415,86,3,FedEx 2Day® A.M.,188.58,2021
1416,87,3,FedEx First Overnight,350.57,2021
1417,87,3,FedEx Priority Overnight,319.57,2021
1418,87,3,FedEx Std Overnight,298.41,2021
1419,87,3,FedEx 2DAy,165.26,2021
1420,87,3,FedEx Express Saver,155.66,2021
1421,87,3,FedEx 2Day® A.M.,189.45,2021
1422,88,3,FedEx First Overnight,351.42,2021
1423,88,3,FedEx Priority Overnight,320.42,2021
1424,88,3,FedEx Std Overnight,303.06,2021
1425,88,3,FedEx 2DAy,166.15,2021
1426,88,3,FedEx Express Saver,156.46,2021
1427,88,3,FedEx 2Day® A.M.,190.41,2021
1428,89,3,FedEx First Overnight,352.26,2021
1429,89,3,FedEx Priority Overnight,321.26,2021
1430,89,3,FedEx Std Overnight,306.70,2021
1431,89,3,FedEx 2DAy,167.03,2021
1432,89,3,FedEx Express Saver,157.26,2021
1433,89,3,FedEx 2Day® A.M.,191.21,2021
1434,90,3,FedEx First Overnight,353.11,2021
1435,90,3,FedEx Priority Overnight,322.11,2021
1436,90,3,FedEx Std Overnight,307.56,2021
1437,90,3,FedEx 2DAy,167.91,2021
1438,90,3,FedEx Express Saver,158.38,2021
1439,90,3,FedEx 2Day® A.M.,195.73,2021
1440,91,3,FedEx First Overnight,364.98,2021
1441,91,3,FedEx Priority Overnight,333.98,2021
1442,91,3,FedEx Std Overnight,308.42,2021
1443,91,3,FedEx 2DAy,168.79,2021
1444,91,3,FedEx Express Saver,159.18,2021
1445,91,3,FedEx 2Day® A.M.,196.53,2021
1446,92,3,FedEx First Overnight,366.18,2021
1447,92,3,FedEx Priority Overnight,335.18,2021
1448,92,3,FedEx Std Overnight,318.10,2021
1449,92,3,FedEx 2DAy,169.67,2021
1450,92,3,FedEx Express Saver,159.98,2021
1451,92,3,FedEx 2Day® A.M.,197.33,2021
1452,93,3,FedEx First Overnight,366.99,2021
1453,93,3,FedEx Priority Overnight,335.99,2021
1454,93,3,FedEx Std Overnight,319.07,2021
1455,93,3,FedEx 2DAy,170.55,2021
1456,93,3,FedEx Express Saver,163.65,2021
1457,93,3,FedEx 2Day® A.M.,198.13,2021
1458,94,3,FedEx First Overnight,367.81,2021
1459,94,3,FedEx Priority Overnight,336.81,2021
1460,94,3,FedEx Std Overnight,326.26,2021
1461,94,3,FedEx 2DAy,171.43,2021
1462,94,3,FedEx Express Saver,164.55,2021
1463,94,3,FedEx 2Day® A.M.,198.93,2021
1464,95,3,FedEx First Overnight,368.62,2021
1465,95,3,FedEx Priority Overnight,337.62,2021
1466,95,3,FedEx Std Overnight,327.12,2021
1467,95,3,FedEx 2DAy,172.31,2021
1468,95,3,FedEx Express Saver,165.35,2021
1469,95,3,FedEx 2Day® A.M.,200.17,2021
1470,96,3,FedEx First Overnight,369.44,2021
1471,96,3,FedEx Priority Overnight,338.44,2021
1472,96,3,FedEx Std Overnight,327.99,2021
1473,96,3,FedEx 2DAy,173.11,2021
1474,96,3,FedEx Express Saver,166.15,2021
1475,96,3,FedEx 2Day® A.M.,200.97,2021
1476,97,3,FedEx First Overnight,370.26,2021
1477,97,3,FedEx Priority Overnight,339.26,2021
1478,97,3,FedEx Std Overnight,328.86,2021
1479,97,3,FedEx 2DAy,174.08,2021
1480,97,3,FedEx Express Saver,166.95,2021
1481,97,3,FedEx 2Day® A.M.,201.95,2021
1482,98,3,FedEx First Overnight,371.07,2021
1483,98,3,FedEx Priority Overnight,340.07,2021
1484,98,3,FedEx Std Overnight,333.40,2021
1485,98,3,FedEx 2DAy,174.96,2021
1486,98,3,FedEx Express Saver,167.75,2021
1487,98,3,FedEx 2Day® A.M.,202.75,2021
1488,99,3,FedEx First Overnight,371.89,2021
1489,99,3,FedEx Priority Overnight,340.89,2021
1490,99,3,FedEx Std Overnight,334.20,2021
1491,99,3,FedEx 2DAy,175.84,2021
1492,99,3,FedEx Express Saver,169.07,2021
1493,99,3,FedEx 2Day® A.M.,203.55,2021
1494,100,3,FedEx First Overnight,373.00,2021
1495,100,3,FedEx Priority Overnight,342.00,2021
1496,100,3,FedEx Std Overnight,335.00,2021
1497,100,3,FedEx 2DAy,191.0,2021
1498,100,3,FedEx Express Saver,180.00,2021
1499,100,3,FedEx 2Day® A.M.,217.00,2021
1500,101,3,FedEx First Overnight,376.73,2021
1501,101,3,FedEx Priority Overnight,345.42,2021
1502,101,3,FedEx Std Overnight,338.35,2021
1503,101,3,FedEx 2DAy,192.91,2021
1504,101,3,FedEx Express Saver,181.80,2021
1505,101,3,FedEx 2Day® A.M.,219.17,2021
1506,102,3,FedEx First Overnight,380.46,2021
1507,102,3,FedEx Priority Overnight,348.84,2021
1508,102,3,FedEx Std Overnight,341.70,2021
1509,102,3,FedEx 2DAy,194.82,2021
1510,102,3,FedEx Express Saver,183.60,2021
1511,102,3,FedEx 2Day® A.M.,221.34,2021
1512,103,3,FedEx First Overnight,384.19,2021
1513,103,3,FedEx Priority Overnight,352.26,2021
1514,103,3,FedEx Std Overnight,345.05,2021
1515,103,3,FedEx 2DAy,196.73,2021
1516,103,3,FedEx Express Saver,185.40,2021
1517,103,3,FedEx 2Day® A.M.,223.51,2021
1518,104,3,FedEx First Overnight,387.92,2021
1519,104,3,FedEx Priority Overnight,355.68,2021
1520,104,3,FedEx Std Overnight,348.40,2021
1521,104,3,FedEx 2DAy,198.64,2021
1522,104,3,FedEx Express Saver,187.20,2021
1523,104,3,FedEx 2Day® A.M.,225.68,2021
1524,105,3,FedEx First Overnight,391.65,2021
1525,105,3,FedEx Priority Overnight,359.10,2021
1526,105,3,FedEx Std Overnight,351.75,2021
1527,105,3,FedEx 2DAy,200.55,2021
1528,105,3,FedEx Express Saver,189.00,2021
1529,105,3,FedEx 2Day® A.M.,227.85,2021
1530,106,3,FedEx First Overnight,395.38,2021
1531,106,3,FedEx Priority Overnight,362.52,2021
1532,106,3,FedEx Std Overnight,355.10,2021
1533,106,3,FedEx 2DAy,202.46,2021
1534,106,3,FedEx Express Saver,190.80,2021
1535,106,3,FedEx 2Day® A.M.,230.02,2021
1536,107,3,FedEx First Overnight,399.11,2021
1537,107,3,FedEx Priority Overnight,365.94,2021
1538,107,3,FedEx Std Overnight,358.45,2021
1539,107,3,FedEx 2DAy,204.37,2021
1540,107,3,FedEx Express Saver,192.60,2021
1541,107,3,FedEx 2Day® A.M.,232.19,2021
1542,108,3,FedEx First Overnight,402.84,2021
1543,108,3,FedEx Priority Overnight,369.36,2021
1544,108,3,FedEx Std Overnight,361.80,2021
1545,108,3,FedEx 2DAy,206.28,2021
1546,108,3,FedEx Express Saver,194.40,2021
1547,108,3,FedEx 2Day® A.M.,234.36,2021
1548,109,3,FedEx First Overnight,406.57,2021
1549,109,3,FedEx Priority Overnight,372.78,2021
1550,109,3,FedEx Std Overnight,365.15,2021
1551,109,3,FedEx 2DAy,208.19,2021
1552,109,3,FedEx Express Saver,196.20,2021
1553,109,3,FedEx 2Day® A.M.,236.53,2021
1554,110,3,FedEx First Overnight,410.30,2021
1555,110,3,FedEx Priority Overnight,376.20,2021
1556,110,3,FedEx Std Overnight,368.50,2021
1557,110,3,FedEx 2DAy,210.1,2021
1558,110,3,FedEx Express Saver,198.00,2021
1559,110,3,FedEx 2Day® A.M.,238.70,2021
1560,111,3,FedEx First Overnight,414.03,2021
1561,111,3,FedEx Priority Overnight,379.62,2021
1562,111,3,FedEx Std Overnight,371.85,2021
1563,111,3,FedEx 2DAy,212.01,2021
1564,111,3,FedEx Express Saver,199.80,2021
1565,111,3,FedEx 2Day® A.M.,240.87,2021
1566,112,3,FedEx First Overnight,417.76,2021
1567,112,3,FedEx Priority Overnight,383.04,2021
1568,112,3,FedEx Std Overnight,375.20,2021
1569,112,3,FedEx 2DAy,213.92,2021
1570,112,3,FedEx Express Saver,201.60,2021
1571,112,3,FedEx 2Day® A.M.,243.04,2021
1572,113,3,FedEx First Overnight,421.49,2021
1573,113,3,FedEx Priority Overnight,386.46,2021
1574,113,3,FedEx Std Overnight,378.55,2021
1575,113,3,FedEx 2DAy,215.83,2021
1576,113,3,FedEx Express Saver,203.40,2021
1577,113,3,FedEx 2Day® A.M.,245.21,2021
1578,114,3,FedEx First Overnight,425.22,2021
1579,114,3,FedEx Priority Overnight,389.88,2021
1580,114,3,FedEx Std Overnight,381.90,2021
1581,114,3,FedEx 2DAy,217.74,2021
1582,114,3,FedEx Express Saver,205.20,2021
1583,114,3,FedEx 2Day® A.M.,247.38,2021
1584,115,3,FedEx First Overnight,428.95,2021
1585,115,3,FedEx Priority Overnight,393.30,2021
1586,115,3,FedEx Std Overnight,385.25,2021
1587,115,3,FedEx 2DAy,219.65,2021
1588,115,3,FedEx Express Saver,207.00,2021
1589,115,3,FedEx 2Day® A.M.,249.55,2021
1590,116,3,FedEx First Overnight,432.68,2021
1591,116,3,FedEx Priority Overnight,396.72,2021
1592,116,3,FedEx Std Overnight,388.60,2021
1593,116,3,FedEx 2DAy,221.56,2021
1594,116,3,FedEx Express Saver,208.80,2021
1595,116,3,FedEx 2Day® A.M.,251.72,2021
1596,117,3,FedEx First Overnight,436.41,2021
1597,117,3,FedEx Priority Overnight,400.14,2021
1598,117,3,FedEx Std Overnight,391.95,2021
1599,117,3,FedEx 2DAy,223.47,2021
1600,117,3,FedEx Express Saver,210.60,2021
1601,117,3,FedEx 2Day® A.M.,253.89,2021
1602,118,3,FedEx First Overnight,440.14,2021
1603,118,3,FedEx Priority Overnight,403.56,2021
1604,118,3,FedEx Std Overnight,395.30,2021
1605,118,3,FedEx 2DAy,225.38,2021
1606,118,3,FedEx Express Saver,212.40,2021
1607,118,3,FedEx 2Day® A.M.,256.06,2021
1608,119,3,FedEx First Overnight,443.87,2021
1609,119,3,FedEx Priority Overnight,406.98,2021
1610,119,3,FedEx Std Overnight,398.65,2021
1611,119,3,FedEx 2DAy,227.29,2021
1612,119,3,FedEx Express Saver,214.20,2021
1613,119,3,FedEx 2Day® A.M.,258.23,2021
1614,120,3,FedEx First Overnight,447.60,2021
1615,120,3,FedEx Priority Overnight,410.40,2021
1616,120,3,FedEx Std Overnight,402.00,2021
1617,120,3,FedEx 2DAy,229.2,2021
1618,120,3,FedEx Express Saver,216.00,2021
1619,120,3,FedEx 2Day® A.M.,260.40,2021
1620,121,3,FedEx First Overnight,451.33,2021
1621,121,3,FedEx Priority Overnight,413.82,2021
1622,121,3,FedEx Std Overnight,405.35,2021
1623,121,3,FedEx 2DAy,231.11,2021
1624,121,3,FedEx Express Saver,217.80,2021
1625,121,3,FedEx 2Day® A.M.,262.57,2021
1626,122,3,FedEx First Overnight,455.06,2021
1627,122,3,FedEx Priority Overnight,417.24,2021
1628,122,3,FedEx Std Overnight,408.70,2021
1629,122,3,FedEx 2DAy,233.02,2021
1630,122,3,FedEx Express Saver,219.60,2021
1631,122,3,FedEx 2Day® A.M.,264.74,2021
1632,123,3,FedEx First Overnight,458.79,2021
1633,123,3,FedEx Priority Overnight,420.66,2021
1634,123,3,FedEx Std Overnight,412.05,2021
1635,123,3,FedEx 2DAy,234.93,2021
1636,123,3,FedEx Express Saver,221.40,2021
1637,123,3,FedEx 2Day® A.M.,266.91,2021
1638,124,3,FedEx First Overnight,462.52,2021
1639,124,3,FedEx Priority Overnight,424.08,2021
1640,124,3,FedEx Std Overnight,415.40,2021
1641,124,3,FedEx 2DAy,236.84,2021
1642,124,3,FedEx Express Saver,223.20,2021
1643,124,3,FedEx 2Day® A.M.,269.08,2021
1644,125,3,FedEx First Overnight,466.25,2021
1645,125,3,FedEx Priority Overnight,427.50,2021
1646,125,3,FedEx Std Overnight,418.75,2021
1647,125,3,FedEx 2DAy,238.75,2021
1648,125,3,FedEx Express Saver,225.00,2021
1649,125,3,FedEx 2Day® A.M.,271.25,2021
1650,126,3,FedEx First Overnight,469.98,2021
1651,126,3,FedEx Priority Overnight,430.92,2021
1652,126,3,FedEx Std Overnight,422.10,2021
1653,126,3,FedEx 2DAy,240.66,2021
1654,126,3,FedEx Express Saver,226.80,2021
1655,126,3,FedEx 2Day® A.M.,273.42,2021
1656,127,3,FedEx First Overnight,473.71,2021
1657,127,3,FedEx Priority Overnight,434.34,2021
1658,127,3,FedEx Std Overnight,425.45,2021
1659,127,3,FedEx 2DAy,242.57,2021
1660,127,3,FedEx Express Saver,228.60,2021
1661,127,3,FedEx 2Day® A.M.,275.59,2021
1662,128,3,FedEx First Overnight,477.44,2021
1663,128,3,FedEx Priority Overnight,437.76,2021
1664,128,3,FedEx Std Overnight,428.80,2021
1665,128,3,FedEx 2DAy,244.48,2021
1666,128,3,FedEx Express Saver,230.40,2021
1667,128,3,FedEx 2Day® A.M.,277.76,2021
1668,129,3,FedEx First Overnight,481.17,2021
1669,129,3,FedEx Priority Overnight,441.18,2021
1670,129,3,FedEx Std Overnight,432.15,2021
1671,129,3,FedEx 2DAy,246.39,2021
1672,129,3,FedEx Express Saver,232.20,2021
1673,129,3,FedEx 2Day® A.M.,279.93,2021
